date,race_no,race_name,distance_m,deadline,teiban,toban,name,age,branch,weight,kyubetsu,zenkoku_shoritsu,zenkoku_2ritsu,touchi_shoritsu,touchi_2ritsu,no_touchi_data,motor_no,motor_2ritsu,boat_no,boat_2ritsu,konsetsu,in_confidence,upset_risk,verdict,bet_shape
2026-08-13,1,予選,1800,15:16,1,4138,中井俊祐,45,大阪,54,B1,5.08,33.33,5.47,33.96,0,14,25.84,82,50.68,,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,3,4}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-13,1,予選,1800,15:16,2,4397,西村拓也,39,大阪,53,A1,7.40,60.00,6.99,47.16,0,80,48.19,69,39.19,,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,3,4}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-13,1,予選,1800,15:16,3,3977,山本兼士,49,大阪,53,B1,4.21,15.79,5.02,26.67,0,71,38.55,90,31.33,,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,3,4}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-13,1,予選,1800,15:16,4,4934,佐々木翔,30,大阪,56,A2,5.16,29.55,5.48,38.33,0,82,38.20,17,47.89,,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,3,4}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-13,1,予選,1800,15:16,5,5046,松山裕基,32,大阪,55,B1,3.85,16.00,4.41,22.00,0,33,35.37,75,38.36,,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,3,4}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-13,1,予選,1800,15:16,6,5463,出口飛龍,19,大阪,54,B2,1.07,0.00,1.14,0.00,0,17,43.04,80,36.11,,中,高,標準,"3連単フォーメーション 1-{2,4}-{2,3,4}（4点） ＋ 3連複 1=2=4 1点（対抗の1着を押さえ）"
2026-08-13,2,予選,1800,15:38,1,4639,雑賀勇貴,35,大阪,54,B1,4.29,22.58,4.62,28.57,0,18,27.27,37,34.25,,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-13,2,予選,1800,15:38,2,3963,原田秀弥,47,大阪,52,A2,5.81,36.61,6.17,46.67,0,24,46.43,77,32.00,,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-13,2,予選,1800,15:38,3,4826,井上一輝,32,大阪,52,A1,6.98,52.68,6.68,44.03,0,69,36.14,76,33.33,,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-13,2,予選,1800,15:38,4,5325,澁川夏,23,大阪,51,B1,6.01,42.70,3.54,12.60,0,34,29.41,51,38.20,,低,高,見送り,買わない、または複勝 1号艇 1点
