date,race_no,race_name,distance_m,deadline,teiban,toban,name,age,branch,weight,kyubetsu,zenkoku_shoritsu,zenkoku_2ritsu,touchi_shoritsu,touchi_2ritsu,no_touchi_data,motor_no,motor_2ritsu,boat_no,boat_2ritsu,konsetsu,in_confidence,upset_risk,verdict,bet_shape
2026-08-17,1,一般戦,1800,15:16,1,3963,原田秀弥,47,大阪,52,A2,5.81,36.61,6.17,46.67,0,24,46.43,77,32.00,163 412,高,低,勝負,"3連単フォーメーション 1-{2,4}-{2,3,4,5}（6点）"
2026-08-17,1,一般戦,1800,15:16,2,4934,佐々木翔,30,大阪,56,A2,5.16,29.55,5.48,38.33,0,82,38.20,17,47.89,314 165,高,低,勝負,"3連単フォーメーション 1-{2,4}-{2,3,4,5}（6点）"
2026-08-17,1,一般戦,1800,15:16,3,3882,新田智彰,53,大阪,55,B1,4.27,17.05,4.64,29.55,0,60,42.70,67,41.33,665 533,高,低,勝負,"3連単フォーメーション 1-{2,4}-{2,3,4,5}（6点）"
2026-08-17,1,一般戦,1800,15:16,4,4834,浜本裕己,38,大阪,51,A2,5.45,36.36,5.17,32.14,0,74,33.73,33,42.67,643 321,高,低,勝負,"3連単フォーメーション 1-{2,4}-{2,3,4,5}（6点）"
2026-08-17,1,一般戦,1800,15:16,5,5302,秋末秦悟,23,大阪,52,B1,3.96,22.54,2.48,9.57,0,73,39.02,15,29.63,5 34S 54,高,低,勝負,"3連単フォーメーション 1-{2,4}-{2,3,4,5}（6点）"
2026-08-17,1,一般戦,1800,15:16,6,5450,藤本遼磨,23,大阪,52,B2,2.18,2.50,1.63,0.00,0,26,32.50,14,32.18,5 6 666,高,低,勝負,"3連単フォーメーション 1-{2,4}-{2,3,4,5}（6点）"
2026-08-17,2,一般戦,1800,15:38,1,5376,吉田一心,22,大阪,51,B1,5.35,37.23,4.50,25.71,0,38,48.05,60,30.12,1 15S 12,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-17,2,一般戦,1800,15:38,2,4967,中村魁生,28,大阪,51,A1,6.64,46.72,6.19,42.86,0,57,46.34,73,37.50,3 356 23,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-17,2,一般戦,1800,15:38,3,4389,伊藤喜智,40,大阪,52,A2,5.55,31.87,5.27,33.33,0,85,37.18,81,42.65,423 463,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-17,2,一般戦,1800,15:38,4,3977,山本兼士,49,大阪,53,B1,4.21,15.79,5.02,26.67,0,71,38.55,90,31.33,535 533,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-17,2,一般戦,1800,15:38,5,4397,西村拓也,39,大阪,53,A1,7.40,60.00,6.99,47.16,0,80,48.19,69,39.19,123 1 24,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-17,2,一般戦,1800,15:38,6,4561,藤山翔大,35,大阪,53,A2,5.71,41.12,5.96,45.88,0,20,50.62,29,36.90,4 F64 6,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-17,3,一般戦,1800,16:09,1,4572,渡部悟,38,大阪,55,B1,5.59,36.28,4.77,28.21,0,32,32.56,50,35.63,2 223 53,中,高,標準,"3連単フォーメーション 1-{4,5}-{3,4,5}（4点） ＋ 3連複 1=4=5 1点（対抗の1着を押さえ）"
2026-08-17,3,一般戦,1800,16:09,2,4422,永井亮次,37,大阪,52,B1,4.54,25.64,4.97,26.92,0,84,33.33,53,32.47,341 4 51,中,高,標準,"3連単フォーメーション 1-{4,5}-{3,4,5}（4点） ＋ 3連複 1=4=5 1点（対抗の1着を押さえ）"
2026-08-17,3,一般戦,1800,16:09,3,4427,秦英悟,40,大阪,52,A1,7.11,54.62,6.15,39.34,0,66,32.14,26,35.00,1 112 32,中,高,標準,"3連単フォーメーション 1-{4,5}-{3,4,5}（4点） ＋ 3連複 1=4=5 1点（対抗の1着を押さえ）"
