date,race_no,race_name,distance_m,deadline,teiban,toban,name,age,branch,weight,kyubetsu,zenkoku_shoritsu,zenkoku_2ritsu,touchi_shoritsu,touchi_2ritsu,no_touchi_data,motor_no,motor_2ritsu,boat_no,boat_2ritsu,konsetsu,in_confidence,upset_risk,verdict,bet_shape
2026-08-15,1,予選,1800,15:16,1,3882,新田智彰,53,大阪,55,B1,4.27,17.05,4.64,29.55,0,60,42.70,67,41.33,665,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-15,1,予選,1800,15:16,2,4311,岡村仁,42,大阪,58,A1,6.62,50.98,6.71,48.95,0,23,28.57,20,33.33,452,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-15,1,予選,1800,15:16,3,4319,三宅潤,41,大阪,53,A2,5.52,33.33,5.64,36.99,0,29,44.58,55,39.29,555,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-15,1,予選,1800,15:16,4,4959,井上忠政,30,大阪,53,A1,7.43,54.87,6.77,50.57,0,28,28.26,11,31.76,3 11,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-15,1,予選,1800,15:16,5,4639,雑賀勇貴,35,大阪,54,B1,4.29,22.58,4.62,28.57,0,18,27.27,37,34.25,544,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-15,1,予選,1800,15:16,6,5450,藤本遼磨,23,大阪,52,B2,2.18,2.50,1.63,0.00,0,26,32.50,14,32.18,5 6,低,高,見送り,買わない、または複勝 1号艇 1点
2026-08-15,2,予選,1800,15:38,1,5036,福田翔吾,28,大阪,53,B1,5.13,31.43,5.05,35.11,0,79,36.78,13,35.62,6 23,中,高,標準,"3連単フォーメーション 1-{2,6}-{2,3,6}（4点） ＋ 3連複 1=2=6 1点（対抗の1着を押さえ）"
2026-08-15,2,予選,1800,15:38,2,5267,石本裕武,26,大阪,51,A1,6.53,50.00,6.42,47.06,0,58,36.05,72,32.14,116,中,高,標準,"3連単フォーメーション 1-{2,6}-{2,3,6}（4点） ＋ 3連複 1=2=6 1点（対抗の1着を押さえ）"
2026-08-15,2,予選,1800,15:38,3,4834,浜本裕己,38,大阪,51,A2,5.45,36.36,5.17,32.14,0,74,33.73,33,42.67,643,中,高,標準,"3連単フォーメーション 1-{2,6}-{2,3,6}（4点） ＋ 3連複 1=2=6 1点（対抗の1着を押さえ）"
2026-08-15,2,予選,1800,15:38,4,5393,藤原駿,25,大阪,56,B2,1.43,0.00,1.48,0.00,0,61,36.59,83,33.75,6 6,中,高,標準,"3連単フォーメーション 1-{2,6}-{2,3,6}（4点） ＋ 3連複 1=2=6 1点（対抗の1着を押さえ）"
2026-08-15,2,予選,1800,15:38,5,3977,山本兼士,49,大阪,53,B1,4.21,15.79,5.02,26.67,0,71,38.55,90,31.33,535,中,高,標準,"3連単フォーメーション 1-{2,6}-{2,3,6}（4点） ＋ 3連複 1=2=6 1点（対抗の1着を押さえ）"
2026-08-15,2,予選,1800,15:38,6,4561,藤山翔大,35,大阪,53,A2,5.71,41.12,5.96,45.88,0,20,50.62,29,36.90,4 F6,中,高,標準,"3連単フォーメーション 1-{2,6}-{2,3,6}（4点） ＋ 3連複 1=2=6 1点（対抗の1着を押さえ）"
2026-08-15,3,予選,1800,16:02,1,4934,佐々木翔,30,大阪,56,A2,5.16,29.55,5.48,38.33,0,82,38.20,17,47.89,314,中,高,標準,"3連単フォーメーション 1-{3,4}-{3,4,5}（4点） ＋ 3連複 1=3=4 1点（対抗の1着を押さえ）"
2026-08-15,3,予選,1800,16:02,2,4905,土井祥伍,31,大阪,54,B1,4.63,23.08,4.10,20.00,0,11,43.37,85,32.47,565,中,高,標準,"3連単フォーメーション 1-{3,4}-{3,4,5}（4点） ＋ 3連複 1=3=4 1点（対抗の1着を押さえ）"
2026-08-15,3,予選,1800,16:02,3,4907,小池修平,31,大阪,53,A1,7.39,57.02,6.67,50.38,0,54,37.65,68,29.76,5 34,中,高,標準,"3連単フォーメーション 1-{3,4}-{3,4,5}（4点） ＋ 3連複 1=3=4 1点（対抗の1着を押さえ）"
2026-08-15,3,予選,1800,16:02,4,4377,濱本優一,42,大阪,49,A1,5.41,38.24,5.38,34.91,0,56,33.75,58,32.35,3 35,中,高,標準,"3連単フォーメーション 1-{3,4}-{3,4,5}（4点） ＋ 3連複 1=3=4 1点（対抗の1着を押さえ）"
2026-08-15,3,予選,1800,16:02,5,3507,藤井徹,55,大阪,51,B1,4.19,24.66,4.71,23.81,0,67,31.76,21,36.25,1 54,中,高,標準,"3連単フォーメーション 1-{3,4}-{3,4,5}（4点） ＋ 3連複 1=3=4 1点（対抗の1着を押さえ）"
2026-08-15,3,予選,1800,16:02,6,5467,野村羽玖,19,大阪,49,B2,2.47,0.00,1.38,0.00,0,53,35.44,63,32.08,4 66,中,高,標準,"3連単フォーメーション 1-{3,4}-{3,4,5}（4点） ＋ 3連複 1=3=4 1点（対抗の1着を押さえ）"
2026-08-15,4,予選,1800,16:32,1,4572,渡部悟,38,大阪,55,B1,5.59,36.28,4.77,28.21,0,32,32.56,50,35.63,2 22,中,高,標準,"3連単フォーメーション 1-{3,4}-{3,4,5}（4点） ＋ 3連複 1=3=4 1点（対抗の1着を押さえ）"
2026-08-15,4,予選,1800,16:32,2,5325,澁川夏,23,大阪,51,B1,6.01,42.70,3.54,12.60,0,34,29.41,51,38.20,251,中,高,標準,"3連単フォーメーション 1-{3,4}-{3,4,5}（4点） ＋ 3連複 1=3=4 1点（対抗の1着を押さえ）"
2026-08-15,4,予選,1800,16:32,3,3963,原田秀弥,47,大阪,52,A2,5.81,36.61,6.17,46.67,0,24,46.43,77,32.00,163,中,高,標準,"3連単フォーメーション 1-{3,4}-{3,4,5}（4点） ＋ 3連複 1=3=4 1点（対抗の1着を押さえ）"
